gene_id,locus_tag,gene_symbol,product,functional_category,pathway,interpretation_hint,annotation_source
GENE_0377,SIM_RS00377,ntr377,Nitrogen regulatory protein,regulation,nitrogen response,Candidate regulator activated during nitrogen limitation,synthetic_teaching_annotation
GENE_0390,SIM_RS00390,nar390,Nitrate transporter-associated protein,transport,nitrogen acquisition,Transport candidate induced by nitrogen limitation,synthetic_teaching_annotation
GENE_0392,SIM_RS00392,usp392,Universal stress protein,stress response,general stress response,General stress marker induced by treatment,synthetic_teaching_annotation
GENE_0393,SIM_RS00393,ntr393,Nitrogen regulatory protein,regulation,nitrogen response,Candidate regulator activated during nitrogen limitation,synthetic_teaching_annotation
GENE_0395,SIM_RS00395,gln395,Glutamine synthetase family enzyme,amino acid metabolism,nitrogen assimilation,Supports assimilation of limited nitrogen sources,synthetic_teaching_annotation
GENE_0413,SIM_RS00413,ure413,Urea utilization protein,energy and nutrient metabolism,nitrogen acquisition,Suggests activation of alternative nitrogen uptake,synthetic_teaching_annotation
GENE_0430,SIM_RS00430,nar430,Nitrate transporter-associated protein,transport,nitrogen acquisition,Transport candidate induced by nitrogen limitation,synthetic_teaching_annotation
GENE_0443,SIM_RS00443,gln443,Glutamine synthetase family enzyme,amino acid metabolism,nitrogen assimilation,Supports assimilation of limited nitrogen sources,synthetic_teaching_annotation
GENE_0450,SIM_RS00450,amt450,Ammonium transporter,transport,nitrogen acquisition,Higher expression suggests increased nitrogen scavenging,synthetic_teaching_annotation
GENE_0468,SIM_RS00468,nas468,Nitrate/nitrite assimilation protein,energy and nutrient metabolism,nitrogen assimilation,Consistent with use of alternative nitrogen sources,synthetic_teaching_annotation
GENE_0473,SIM_RS00473,ntr473,Nitrogen regulatory protein,regulation,nitrogen response,Candidate regulator activated during nitrogen limitation,synthetic_teaching_annotation
GENE_0478,SIM_RS00478,nar478,Nitrate transporter-associated protein,transport,nitrogen acquisition,Transport candidate induced by nitrogen limitation,synthetic_teaching_annotation
GENE_0493,SIM_RS00493,ure493,Urea utilization protein,energy and nutrient metabolism,nitrogen acquisition,Suggests activation of alternative nitrogen uptake,synthetic_teaching_annotation
GENE_0496,SIM_RS00496,usp496,Universal stress protein,stress response,general stress response,General stress marker induced by treatment,synthetic_teaching_annotation
GENE_0051,SIM_RS00051,gln051,Glutamine synthetase family enzyme,amino acid metabolism,nitrogen assimilation,Supports assimilation of limited nitrogen sources,synthetic_teaching_annotation
GENE_0355,SIM_RS00355,rpl355,Large ribosomal subunit protein,translation,ribosome,Lower expression can indicate slower growth,synthetic_teaching_annotation
GENE_0362,SIM_RS00362,rps362,Small ribosomal subunit protein,translation,ribosome,Reduced ribosome expression is consistent with growth limitation,synthetic_teaching_annotation
GENE_0371,SIM_RS00371,atp371,ATP synthase subunit,energy metabolism,oxidative phosphorylation,Energy metabolism candidate reduced under treatment,synthetic_teaching_annotation
GENE_0376,SIM_RS00376,dna376,DNA replication protein,replication and repair,DNA replication,Reduced replication-associated expression suggests slower proliferation,synthetic_teaching_annotation
GENE_0382,SIM_RS00382,dna382,DNA replication protein,replication and repair,DNA replication,Reduced replication-associated expression suggests slower proliferation,synthetic_teaching_annotation
GENE_0424,SIM_RS00424,dna424,DNA replication protein,replication and repair,DNA replication,Reduced replication-associated expression suggests slower proliferation,synthetic_teaching_annotation
GENE_0444,SIM_RS00444,nuo444,NADH dehydrogenase subunit,energy metabolism,respiration,Respiratory activity candidate reduced in treated cultures,synthetic_teaching_annotation
GENE_0462,SIM_RS00462,nuo462,NADH dehydrogenase subunit,energy metabolism,respiration,Respiratory activity candidate reduced in treated cultures,synthetic_teaching_annotation
GENE_0465,SIM_RS00465,fts465,Cell division protein,cell cycle,cell division,Lower expression suggests reduced cell division activity,synthetic_teaching_annotation
GENE_0494,SIM_RS00494,rps494,Small ribosomal subunit protein,translation,ribosome,Reduced ribosome expression is consistent with growth limitation,synthetic_teaching_annotation
GENE_0037,SIM_RS00037,rpl037,Large ribosomal subunit protein,translation,ribosome,Lower expression can indicate slower growth,synthetic_teaching_annotation
GENE_0046,SIM_RS00046,dna046,DNA replication protein,replication and repair,DNA replication,Reduced replication-associated expression suggests slower proliferation,synthetic_teaching_annotation
GENE_0053,SIM_RS00053,atp053,ATP synthase subunit,energy metabolism,oxidative phosphorylation,Energy metabolism candidate reduced under treatment,synthetic_teaching_annotation
GENE_0075,SIM_RS00075,fts075,Cell division protein,cell cycle,cell division,Lower expression suggests reduced cell division activity,synthetic_teaching_annotation
GENE_0077,SIM_RS00077,atp077,ATP synthase subunit,energy metabolism,oxidative phosphorylation,Energy metabolism candidate reduced under treatment,synthetic_teaching_annotation
GENE_0086,SIM_RS00086,rec086,DNA repair protein,replication and repair,DNA repair,Genome maintenance function,synthetic_teaching_annotation
GENE_0087,SIM_RS00087,lip087,Lipid metabolism enzyme,lipid metabolism,membrane lipid metabolism,Cell envelope or membrane metabolism candidate,synthetic_teaching_annotation
GENE_0088,SIM_RS00088,tf088,Transcriptional regulator,regulation,transcription regulation,Regulatory protein; check neighboring genes or pathway context,synthetic_teaching_annotation
GENE_0089,SIM_RS00089,pep089,Peptidase family protein,protein turnover,proteolysis,Protein turnover function,synthetic_teaching_annotation
GENE_0090,SIM_RS00090,cell090,Cell envelope biogenesis protein,cell envelope,cell wall and envelope,Cell surface or envelope function,synthetic_teaching_annotation
GENE_0092,SIM_RS00092,met092,Central metabolism enzyme,central metabolism,core metabolism,Housekeeping-like metabolic function,synthetic_teaching_annotation
GENE_0093,SIM_RS00093,abc093,ABC transporter permease,transport,membrane transport,Generic transport function,synthetic_teaching_annotation
GENE_0094,SIM_RS00094,tca094,Tricarboxylic acid cycle enzyme,energy metabolism,TCA cycle,Core energy metabolism annotation,synthetic_teaching_annotation
GENE_0095,SIM_RS00095,sec095,Protein export component,protein processing,protein secretion,Protein localization and secretion function,synthetic_teaching_annotation
GENE_0096,SIM_RS00096,rec096,DNA repair protein,replication and repair,DNA repair,Genome maintenance function,synthetic_teaching_annotation
GENE_0097,SIM_RS00097,lip097,Lipid metabolism enzyme,lipid metabolism,membrane lipid metabolism,Cell envelope or membrane metabolism candidate,synthetic_teaching_annotation
GENE_0099,SIM_RS00099,pep099,Peptidase family protein,protein turnover,proteolysis,Protein turnover function,synthetic_teaching_annotation
GENE_0101,SIM_RS00101,hk101,Conserved hypothetical protein,uncharacterized,unknown,No specific interpretation; inspect only if statistically strong,synthetic_teaching_annotation
GENE_0102,SIM_RS00102,met102,Central metabolism enzyme,central metabolism,core metabolism,Housekeeping-like metabolic function,synthetic_teaching_annotation
GENE_0103,SIM_RS00103,abc103,ABC transporter permease,transport,membrane transport,Generic transport function,synthetic_teaching_annotation
GENE_0104,SIM_RS00104,tca104,Tricarboxylic acid cycle enzyme,energy metabolism,TCA cycle,Core energy metabolism annotation,synthetic_teaching_annotation
GENE_0105,SIM_RS00105,sec105,Protein export component,protein processing,protein secretion,Protein localization and secretion function,synthetic_teaching_annotation
GENE_0106,SIM_RS00106,rec106,DNA repair protein,replication and repair,DNA repair,Genome maintenance function,synthetic_teaching_annotation
GENE_0107,SIM_RS00107,lip107,Lipid metabolism enzyme,lipid metabolism,membrane lipid metabolism,Cell envelope or membrane metabolism candidate,synthetic_teaching_annotation
GENE_0108,SIM_RS00108,tf108,Transcriptional regulator,regulation,transcription regulation,Regulatory protein; check neighboring genes or pathway context,synthetic_teaching_annotation
GENE_0110,SIM_RS00110,cell110,Cell envelope biogenesis protein,cell envelope,cell wall and envelope,Cell surface or envelope function,synthetic_teaching_annotation
GENE_0111,SIM_RS00111,hk111,Conserved hypothetical protein,uncharacterized,unknown,No specific interpretation; inspect only if statistically strong,synthetic_teaching_annotation
GENE_0112,SIM_RS00112,met112,Central metabolism enzyme,central metabolism,core metabolism,Housekeeping-like metabolic function,synthetic_teaching_annotation
GENE_0113,SIM_RS00113,abc113,ABC transporter permease,transport,membrane transport,Generic transport function,synthetic_teaching_annotation
GENE_0114,SIM_RS00114,tca114,Tricarboxylic acid cycle enzyme,energy metabolism,TCA cycle,Core energy metabolism annotation,synthetic_teaching_annotation
GENE_0115,SIM_RS00115,sec115,Protein export component,protein processing,protein secretion,Protein localization and secretion function,synthetic_teaching_annotation
GENE_0116,SIM_RS00116,rec116,DNA repair protein,replication and repair,DNA repair,Genome maintenance function,synthetic_teaching_annotation
GENE_0117,SIM_RS00117,lip117,Lipid metabolism enzyme,lipid metabolism,membrane lipid metabolism,Cell envelope or membrane metabolism candidate,synthetic_teaching_annotation
GENE_0118,SIM_RS00118,tf118,Transcriptional regulator,regulation,transcription regulation,Regulatory protein; check neighboring genes or pathway context,synthetic_teaching_annotation
GENE_0119,SIM_RS00119,pep119,Peptidase family protein,protein turnover,proteolysis,Protein turnover function,synthetic_teaching_annotation
