gene_id,locus_tag,gene_symbol,product,functional_category,pathway,interpretation_hint,annotation_source
GENE_11001,SIM_RS11001,nar11001,Nitrate transporter-associated protein,transport,nitrogen acquisition,Transport candidate induced by nitrogen limitation,synthetic_teaching_annotation
GENE_11002,SIM_RS11002,amt11002,Ammonium transporter,transport,nitrogen acquisition,Higher expression suggests increased nitrogen scavenging,synthetic_teaching_annotation
GENE_11003,SIM_RS11003,gst11003,Glutathione transferase-like stress protein,stress response,oxidative stress response,Stress-associated response during nutrient limitation,synthetic_teaching_annotation
GENE_11004,SIM_RS11004,rpo11004,RNA polymerase-associated regulator,transcription,gene regulation,May reflect transcriptional adjustment,synthetic_teaching_annotation
GENE_11005,SIM_RS11005,sec11005,Protein secretion pathway component,cell envelope,protein export,Possible envelope remodeling response,synthetic_teaching_annotation
GENE_11006,SIM_RS11006,rib11006,Ribosomal protein,translation,protein synthesis,Constitutive expression marker,synthetic_teaching_annotation
GENE_11007,SIM_RS11007,dna11007,DNA repair-associated protein,DNA maintenance,stress repair,Potential maintenance response,synthetic_teaching_annotation
GENE_11008,SIM_RS11008,hyp11008,Hypothetical protein,unknown,uncharacterized,Requires cautious interpretation,synthetic_teaching_annotation
GENE_11009,SIM_RS11009,gln11009,Glutamine synthetase family enzyme,amino acid metabolism,nitrogen assimilation,Supports assimilation of limited nitrogen sources,synthetic_teaching_annotation
GENE_11010,SIM_RS11010,ure11010,Urea utilization protein,energy and nutrient metabolism,nitrogen acquisition,Suggests activation of alternative nitrogen uptake,synthetic_teaching_annotation
GENE_11011,SIM_RS11011,nar11011,Nitrate transporter-associated protein,transport,nitrogen acquisition,Transport candidate induced by nitrogen limitation,synthetic_teaching_annotation
GENE_11012,SIM_RS11012,amt11012,Ammonium transporter,transport,nitrogen acquisition,Higher expression suggests increased nitrogen scavenging,synthetic_teaching_annotation
GENE_11013,SIM_RS11013,gst11013,Glutathione transferase-like stress protein,stress response,oxidative stress response,Stress-associated response during nutrient limitation,synthetic_teaching_annotation
GENE_11014,SIM_RS11014,rpo11014,RNA polymerase-associated regulator,transcription,gene regulation,May reflect transcriptional adjustment,synthetic_teaching_annotation
GENE_11015,SIM_RS11015,sec11015,Protein secretion pathway component,cell envelope,protein export,Possible envelope remodeling response,synthetic_teaching_annotation
GENE_11016,SIM_RS11016,rib11016,Ribosomal protein,translation,protein synthesis,Constitutive expression marker,synthetic_teaching_annotation
GENE_11017,SIM_RS11017,dna11017,DNA repair-associated protein,DNA maintenance,stress repair,Potential maintenance response,synthetic_teaching_annotation
GENE_11018,SIM_RS11018,hyp11018,Hypothetical protein,unknown,uncharacterized,Requires cautious interpretation,synthetic_teaching_annotation
GENE_11019,SIM_RS11019,gln11019,Glutamine synthetase family enzyme,amino acid metabolism,nitrogen assimilation,Supports assimilation of limited nitrogen sources,synthetic_teaching_annotation
GENE_11020,SIM_RS11020,ure11020,Urea utilization protein,energy and nutrient metabolism,nitrogen acquisition,Suggests activation of alternative nitrogen uptake,synthetic_teaching_annotation
GENE_11021,SIM_RS11021,nar11021,Nitrate transporter-associated protein,transport,nitrogen acquisition,Transport candidate induced by nitrogen limitation,synthetic_teaching_annotation
GENE_11022,SIM_RS11022,amt11022,Ammonium transporter,transport,nitrogen acquisition,Higher expression suggests increased nitrogen scavenging,synthetic_teaching_annotation
GENE_11023,SIM_RS11023,gst11023,Glutathione transferase-like stress protein,stress response,oxidative stress response,Stress-associated response during nutrient limitation,synthetic_teaching_annotation
GENE_11024,SIM_RS11024,rpo11024,RNA polymerase-associated regulator,transcription,gene regulation,May reflect transcriptional adjustment,synthetic_teaching_annotation
GENE_11025,SIM_RS11025,sec11025,Protein secretion pathway component,cell envelope,protein export,Possible envelope remodeling response,synthetic_teaching_annotation
GENE_11026,SIM_RS11026,rib11026,Ribosomal protein,translation,protein synthesis,Constitutive expression marker,synthetic_teaching_annotation
GENE_11027,SIM_RS11027,dna11027,DNA repair-associated protein,DNA maintenance,stress repair,Potential maintenance response,synthetic_teaching_annotation
GENE_11028,SIM_RS11028,hyp11028,Hypothetical protein,unknown,uncharacterized,Requires cautious interpretation,synthetic_teaching_annotation
GENE_11029,SIM_RS11029,gln11029,Glutamine synthetase family enzyme,amino acid metabolism,nitrogen assimilation,Supports assimilation of limited nitrogen sources,synthetic_teaching_annotation
GENE_11030,SIM_RS11030,ure11030,Urea utilization protein,energy and nutrient metabolism,nitrogen acquisition,Suggests activation of alternative nitrogen uptake,synthetic_teaching_annotation
GENE_11031,SIM_RS11031,nar11031,Nitrate transporter-associated protein,transport,nitrogen acquisition,Transport candidate induced by nitrogen limitation,synthetic_teaching_annotation
GENE_11032,SIM_RS11032,amt11032,Ammonium transporter,transport,nitrogen acquisition,Higher expression suggests increased nitrogen scavenging,synthetic_teaching_annotation
GENE_11033,SIM_RS11033,gst11033,Glutathione transferase-like stress protein,stress response,oxidative stress response,Stress-associated response during nutrient limitation,synthetic_teaching_annotation
GENE_11034,SIM_RS11034,rpo11034,RNA polymerase-associated regulator,transcription,gene regulation,May reflect transcriptional adjustment,synthetic_teaching_annotation
GENE_11035,SIM_RS11035,sec11035,Protein secretion pathway component,cell envelope,protein export,Possible envelope remodeling response,synthetic_teaching_annotation
GENE_11036,SIM_RS11036,rib11036,Ribosomal protein,translation,protein synthesis,Constitutive expression marker,synthetic_teaching_annotation
GENE_11037,SIM_RS11037,dna11037,DNA repair-associated protein,DNA maintenance,stress repair,Potential maintenance response,synthetic_teaching_annotation
GENE_11038,SIM_RS11038,hyp11038,Hypothetical protein,unknown,uncharacterized,Requires cautious interpretation,synthetic_teaching_annotation
GENE_11039,SIM_RS11039,gln11039,Glutamine synthetase family enzyme,amino acid metabolism,nitrogen assimilation,Supports assimilation of limited nitrogen sources,synthetic_teaching_annotation
GENE_11040,SIM_RS11040,ure11040,Urea utilization protein,energy and nutrient metabolism,nitrogen acquisition,Suggests activation of alternative nitrogen uptake,synthetic_teaching_annotation
GENE_11041,SIM_RS11041,nar11041,Nitrate transporter-associated protein,transport,nitrogen acquisition,Transport candidate induced by nitrogen limitation,synthetic_teaching_annotation
GENE_11042,SIM_RS11042,amt11042,Ammonium transporter,transport,nitrogen acquisition,Higher expression suggests increased nitrogen scavenging,synthetic_teaching_annotation
GENE_11043,SIM_RS11043,gst11043,Glutathione transferase-like stress protein,stress response,oxidative stress response,Stress-associated response during nutrient limitation,synthetic_teaching_annotation
GENE_11044,SIM_RS11044,rpo11044,RNA polymerase-associated regulator,transcription,gene regulation,May reflect transcriptional adjustment,synthetic_teaching_annotation
GENE_11045,SIM_RS11045,sec11045,Protein secretion pathway component,cell envelope,protein export,Possible envelope remodeling response,synthetic_teaching_annotation
GENE_11046,SIM_RS11046,rib11046,Ribosomal protein,translation,protein synthesis,Constitutive expression marker,synthetic_teaching_annotation
GENE_11047,SIM_RS11047,dna11047,DNA repair-associated protein,DNA maintenance,stress repair,Potential maintenance response,synthetic_teaching_annotation
GENE_11048,SIM_RS11048,hyp11048,Hypothetical protein,unknown,uncharacterized,Requires cautious interpretation,synthetic_teaching_annotation
GENE_11049,SIM_RS11049,gln11049,Glutamine synthetase family enzyme,amino acid metabolism,nitrogen assimilation,Supports assimilation of limited nitrogen sources,synthetic_teaching_annotation
GENE_11050,SIM_RS11050,ure11050,Urea utilization protein,energy and nutrient metabolism,nitrogen acquisition,Suggests activation of alternative nitrogen uptake,synthetic_teaching_annotation
GENE_11051,SIM_RS11051,nar11051,Nitrate transporter-associated protein,transport,nitrogen acquisition,Transport candidate induced by nitrogen limitation,synthetic_teaching_annotation
GENE_11052,SIM_RS11052,amt11052,Ammonium transporter,transport,nitrogen acquisition,Higher expression suggests increased nitrogen scavenging,synthetic_teaching_annotation
GENE_11053,SIM_RS11053,gst11053,Glutathione transferase-like stress protein,stress response,oxidative stress response,Stress-associated response during nutrient limitation,synthetic_teaching_annotation
GENE_11054,SIM_RS11054,rpo11054,RNA polymerase-associated regulator,transcription,gene regulation,May reflect transcriptional adjustment,synthetic_teaching_annotation
GENE_11055,SIM_RS11055,sec11055,Protein secretion pathway component,cell envelope,protein export,Possible envelope remodeling response,synthetic_teaching_annotation
GENE_11056,SIM_RS11056,rib11056,Ribosomal protein,translation,protein synthesis,Constitutive expression marker,synthetic_teaching_annotation
GENE_11057,SIM_RS11057,dna11057,DNA repair-associated protein,DNA maintenance,stress repair,Potential maintenance response,synthetic_teaching_annotation
GENE_11058,SIM_RS11058,hyp11058,Hypothetical protein,unknown,uncharacterized,Requires cautious interpretation,synthetic_teaching_annotation
GENE_11059,SIM_RS11059,gln11059,Glutamine synthetase family enzyme,amino acid metabolism,nitrogen assimilation,Supports assimilation of limited nitrogen sources,synthetic_teaching_annotation
GENE_11060,SIM_RS11060,ure11060,Urea utilization protein,energy and nutrient metabolism,nitrogen acquisition,Suggests activation of alternative nitrogen uptake,synthetic_teaching_annotation
